First Name,Middle Name,Last Name,Suffix,DOB,SSN,Gender,DL State,DL Number,House Number,Street Address,Apartment,City,State,Zip,Zip4,Phone Number,#Phone Numbers,Address Finder,Current Address Match,Discovered Drivers,Driving Experience,Email,HSI Score,HSI Description,IID Indicator,Length Of Residency,Marital Status,Own/Rent Indicator,Parking Type,Parking Capacity,Watercraft,Number of ADD Selected subjects,ADD First Name1,ADD Last Name1,ADD First Name2,ADD Last Name2,ADD First Name3,ADD Last Name3,ADD First Name4,ADD Last Name4,ADD First Name5,ADD Last Name5, Number of CC Selected subjects,CC First Name1,CC Last Name1,CC First Name2,CC Last Name2,CC First Name3,CC Last Name3,CC First Name4,CC Last Name4,CC First Name5,CC Last Name5,Number of CC selected vehicles,Number of VIN Report selected vehicles
IVAN,,BRYANT,JR,8/19/1955,666165816,Male,AK,7037188,3910,E 64TH AVE,,ANCHORAGE,AK,99507,2025,9072097051,2,X,TRUE,2,607,1,3,FAMILY OWNED,,607,M,Y,GARAGE,1,,2,VIVIAN,BRYANT,JOHN,NIMELAN,,,,,,,3,IVAN,BRYANT,VIVIAN,BRYANT,JOHN,NIMELAN,,,,,4,4
PAMELA,,CHRISTMAN,,1/16/1935,666168831,Female,AK,7176960,3510,E 65TH AVE,,ANCHORAGE,AK,99507,2304,9072272570,2,X,TRUE,10,853,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,854,M,,GARAGE,4,,10,CAROLYN,CHRISTMAN,CHERYL,CHRISTMAN,ELMER,CHRISTMAN,GLENDALE,CHRISTMAN,GREGORY,CHRISTMAN,10,PAMELA,CHRISTMAN,WILLA,CHRISTMAN,MEMORY,CHRISTMAN,CHERYL,CHRISTMAN,CAROLYN,CHRISTMAN,11,12
MICHEAL,JUSTIN,WUNDERLICH,,9/11/1938,666327831,Male,AK,6688087,7529,E 6TH AVE,,ANCHORAGE,AK,99504,1901,9072270768,2,X,TRUE,10,810,1,,UNKNOWN (SUBJECT FOUND PERSON ,,810,W,,GARAGE,1,,10,BETTE,WUNDERLICH,CASANDRA,WUNDERLICH,CONSTANCE,WUNDERLICH,DEBBIE,WUNDERLICH,DIANNA,WUNDERLICH,12,MICHEAL,WUNDERLICH,JODIE,WUNDERLICH,JOYUA,WUNDERLICH,DIANNA,WUNDERLICH,BETTE,WUNDERLICH,25,25
JOHN,D,QUIOCHO,SR,5/5/1971,666108273,Male,AK,6930341,4973,E 6TH AVE,,ANCHORAGE,AK,99508,2318,9072231234,4,X,TRUE,1,418,1,5,PROBABLE PROP OWNER EVER,,418,M,N,GARAGE,2,,1,SUZANNE,BUNUMESI,,,,,,,,,3,JOHN,QUIOCHO,BRANDON,QUIOCHO,SUZANNE,BUNUMESI,,,,,3,2
MARK,,JOHNSTON,,4/5/1938,666020151,Male,AK,6560500,5901,E 6TH AVE,13,ANCHORAGE,AK,99504,1048,9072238601,2,X,TRUE,2,815,1,5,PROBABLE PROP OWNER EVER,,815,M,N,,0,,2,BISHOP,JOHNSTON,PAUL,JOHNSTON,,,,,,,3,MARK,JOHNSTON,BISHOP,JOHNSTON,PAUL,JOHNSTON,,,,,3,3
CATHERINE,,WHATLEY,,3/22/1966,666699309,Female,AK,6404897,2041,E 72ND AVE,,ANCHORAGE,AK,99507,2701,9072005802,2,X,TRUE,1,480,1,,UNKNOWN (SUBJECT FOUND PERSON ,,479,S,,GARAGE,2,,1,PAT,CRONXAY,,,,,,,,,2,CATHERINE,WHATLEY,PAT,CRONXAY,,,,,,,3,3
DAVID,B,CARROLL,,1/2/1967,666476592,Male,AK,6820254,1811,E 74TH AVE,D,ANCHORAGE,AK,99507,2645,9072009124,2,X,TRUE,2,470,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,470,W,,,0,,2,BRITTANY,CARROLL,VERNA,FUEMU,,,,,,,6,DAVID,CARROLL,VERNA,FUEMU,BRITTANY,CARROLL,DAVID,CARROLL,VERNA,FUEMU,6,7
ANA,MARIA,DEMELO,,7/24/1959,666565035,Female,AK,6855624,1832,E 75TH AVE,,ANCHORAGE,AK,99507,2657,9072001072,2,X,TRUE,1,560,1,,UNKNOWN (SUBJECT FOUND PERSON ,,559,M,,,0,,1,JAMES,DEMELO,,,,,,,,,3,ANA,DEMELO,JAMES,DEMELO,ROSANNE,IBLOXAN,,,,,3,3
FRANK,,SWANSON,,4/2/1943,666217725,Male,AK,7165117,901,E 9TH AVE,7,ANCHORAGE,AK,99501,3860,9072094093,2,X,TRUE,2,755,1,,UNKNOWN (SUBJECT FOUND PERSON ,,755,S,,,0,,2,VICKI,SWANSON,OSCAR,BIMSDERAS,,,,,,,6,FRANK,SWANSON,VICKI,SWANSON,OSCAR,BIMSDERAS,FRANK,SWANSON,VICKI,SWANSON,4,3
AARON,A,GIVENS,,5/19/1940,990503565,Male,AK,6731521,3431,E E 142ND AVE,,ANCHORAGE,AK,99516,4093,9072299169,1,,FALSE,0,786,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
JOSEPH,A,LONZI,,6/30/1969,990502555,Male,AK,5773931,1830,E E 75TH AVE,,ANCHORAGE,AK,99507,2656,9072300237,1,,FALSE,0,426,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
PATRICK,,PELUSO,,8/31/1963,666113697,Male,AK,6724794,1111,E KLATT RD,1,ANCHORAGE,AK,99515,3552,9072273105,2,X,TRUE,10,511,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,510,S,,,0,,10,BERNARD,PELUSO,CHRYS,PELUSO,DEAN,PELUSO,HEATHER,PELUSO,KAREN,PELUSO,11,PATRICK,PELUSO,BERNARD,PELUSO,TANIS,PELUSO,SUSAN,PELUSO,PAUL,PELUSO,12,16
ANN,M,CORD,,3/22/1954,666691551,Female,AK,7047786,1601,E TUDOR RD,,ANCHORAGE,AK,99507,1037,9072001474,2,X,TRUE,2,624,1,6,CURRENT HOMEOWNER,,623,M,Y,GARAGE,2,,2,NELSON,CORD,HEATHER,CLOMSY,,,,,,,3,ANN,CORD,NELSON,CORD,HEATHER,CLOMSY,,,,,3,3
ROYCE,,KING,SR,1/27/1954,666040812,Male,AK,7255574,2440,E TUDOR RD,190,ANCHORAGE,AK,99507,1185,9072277617,2,X,TRUE,0,626,1,,DATA INTEGRITY (PUBLIC RECORDS,,625,M,,,0,,0,,,,,,,,,,,2,ROYCE,KING,REBECCA,KING,,,,,,,4,5
DORETA,Y,GALVAN,,7/30/1939,666555246,Female,AK,6516067,7001,EAST TREE CT,,ANCHORAGE,AK,99507,7049,9072091502,2,X,TRUE,1,800,1,6,CURRENT HOMEOWNER,,799,S,Y,,0,,1,SHAREEN,TIBW,,,,,,,,,2,DORETA,GALVAN,SHAREEN,TIBW,,,,,,,2,2
JANICE,,CUELLAR,,3/6/1975,666622362,Female,AK,406319,1275,ELEGANTE LN,,ANCHORAGE,AK,99501,5620,9072098491,2,X,TRUE,1,372,1,2,OWNED BY ANOTHER,,372,M,N,GARAGE,1,,1,KATHLEEN,CUELLAR,,,,,,,,,2,JANICE,CUELLAR,KATHLEEN,CUELLAR,,,,,,,2,2
R,BRAY,SWAN,,3/25/1947,666612129,Male,AK,7231279,9541,ELMORE RD,,ANCHORAGE,AK,99507,4223,9072274156,2,X,TRUE,1,708,1,,UNKNOWN (SUBJECT FOUND PERSON ,,707,S,,,0,,1,JOHN,HOMM,,,,,,,,,2,R,SWAN,JOHN,HOMM,,,,,,,4,5
JOAN,,BATTIPAGLIA,,12/19/1920,666202383,Female,AK,7155233,9241,EMERALD ST,,ANCHORAGE,AK,99502,1363,9072230110,2,X,TRUE,1,1023,1,4,POSSIBLE PROPERTY OWNER,,1023,S,Y,,0,,1,DAVID,BATTIPAGLIA,,,,,,,,,2,JOAN,BATTIPAGLIA,DAVID,BATTIPAGLIA,,,,,,,2,2
MICHELLE,,NORET,,4/18/1975,666455484,Female,AK,6864347,3701,EUREKA ST,25B,ANCHORAGE,AK,99503,,9072270926,2,X,TRUE,0,371,1,,UNKNOWN (SUBJECT FOUND PERSON ,,371,S,,,0,,0,,,,,,,,,,,2,MICHELLE,NORET,BYRON,ELFAEK,,,,,,,2,2
REGINAL,,SHULL,,2/1/1955,666430629,Male,AK,6228457,217,FAWN CT,,ANCHORAGE,AK,99515,3471,9072274871,2,X,TRUE,1,613,1,,UNKNOWN (SUBJECT FOUND PERSON ,,613,D,,GARAGE,2,,1,HEATHER,AEDG,,,,,,,,,2,REGINAL,SHULL,HEATHER,AEDG,,,,,,,2,4
LARRY,A,KRON,,8/7/1968,666558606,Male,AK,7044380,7001,FOOTHILL DR,,ANCHORAGE,AK,99504,2627,9072235153,2,X,TRUE,10,451,1,,UNKNOWN (SUBJECT FOUND PERSON ,,451,S,,GARAGE,1,,10,BENJAMIN,KRON,DANIEL,KRON,GLORIA,KRON,JOHN,KRON,MARK,KRON,11,LARRY,KRON,GLORIA,KRON,VIKKI,KRON,TERRY,KRON,THOMAS,KRON,11,13
BRASETH,,TRACY,,11/10/1969,666117261,Male,AK,7221728,6810,GOLD KINGS CIR,D,ANCHORAGE,AK,99504,1196,9072004168,2,X,TRUE,1,436,1,,DATA INTEGRITY (PUBLIC RECORDS,,436,U,,,0,,1,BOBBY,TRACY,,,,,,,,,2,BRASETH,TRACY,BOBBY,TRACY,,,,,,,2,3
DANIEL,T,HALE,,6/23/1965,666317541,Male,AK,521534,9130,GOLOVIN ST,,ANCHORAGE,AK,99507,3836,9072008494,2,X,TRUE,2,489,1,5,PROBABLE PROP OWNER EVER,,488,M,N,,0,,2,JAY,HALE,JO,HALE,,,,,,,3,DANIEL,HALE,JAY,HALE,JO,HALE,,,,,3,4
SHELLEY,ANN,ROACH,,7/2/1933,666187851,Female,AK,5982990,10225,GOODNEWS CIR,,ANCHORAGE,AK,99515,2333,9072279210,2,X,TRUE,2,872,1,5,PROBABLE PROP OWNER EVER,Y,872,S,N,,0,,2,DAMON,ROACH,IAN,ROACH,,,,,,,3,SHELLEY,ROACH,DAMON,ROACH,IAN,ROACH,,,,,4,6
JANICE,,TARGGART,,11/12/1970,666369114,Female,AK,6423708,1237,H ST,A,ANCHORAGE,AK,99501,4358,9072098539,2,X,TRUE,1,424,1,5,PROBABLE PROP OWNER EVER,,424,S,N,,0,,1,LINDA,TARGGART,,,,,,,,,2,JANICE,TARGGART,LINDA,TARGGART,,,,,,,3,2
DORIS,P,BRODIE,,10/6/1959,666178092,Female,AK,6929978,10527,HALFHITCH DR,L,ANCHORAGE,AK,99515,2572,9072091519,2,X,TRUE,0,557,1,5,PROBABLE PROP OWNER EVER,,557,M,N,,0,,0,,,,,,,,,,,2,DORIS,BRODIE,TANNER,BRODIE,,,,,,,2,3
MELISSA,,MORGAN,,9/22/1959,666585510,Female,AK,7125754,8200,HOMER DR,F,ANCHORAGE,AK,99518,3330,9072239941,2,X,TRUE,4,558,1,5,PROBABLE PROP OWNER EVER,,557,M,N,,0,,4,KENT,MORGAN,JACK,BARZ,JEFFREY,BARZ,ROGER,BARZ,,,2,MELISSA,MORGAN,KENT,MORGAN,,,,,,,2,5
TANYA,,ROSE,,4/15/1960,666070773,Female,AK,7154657,3510,HOOPER WAY,,ANCHORAGE,AK,99515,2339,9072291105,2,X,TRUE,1,551,1,6,CURRENT HOMEOWNER,Y,551,M,Y,,0,,1,KRIS,GUMMA,,,,,,,,,2,TANYA,ROSE,KRIS,GUMMA,,,,,,,2,2
JEAN,,HENDERSON,,7/3/1978,666332466,Female,AK,7052783,1124,I ST,,ANCHORAGE,AK,99501,4321,9072098823,2,X,TRUE,0,332,1,5,PROBABLE PROP OWNER EVER,Y,332,M,N,GARAGE,2,,0,,,,,,,,,,,12,JEAN,HENDERSON,ROBERT,HENDERSON,JOHN,EMSIMUK,ADA,ELFIIK,LINDA,QIOMF,13,16
LEVI,E,BELITSKY,,9/3/1970,666109068,Male,AK,6689618,150,JELINEK PL,,ANCHORAGE,AK,99504,1416,9072235991,2,X,TRUE,10,426,1,5,PROBABLE PROP OWNER EVER,,426,S,N,GARAGE,2,,10,AMANDA,BELITSKY,BARBARA,BELITSKY,FELICITA,BELITSKY,JOSE,BELITSKY,MARK,BELITSKY,12,LEVI,BELITSKY,VICTOIA,BELITSKY,PAULEEN,BELITSKY,AMANDA,BELITSKY,JOSE,BELITSKY,12,16
MYRON,T,BRINKLEY,,9/1/1961,666251259,Male,AK,580177,4011,JUSTIN CIR,,ANCHORAGE,AK,99507,3900,9072271516,2,X,TRUE,2,534,1,,UNKNOWN (SUBJECT FOUND PERSON ,,534,S,,GARAGE,2,,2,JAMES,BRINKLEY,SOMPHETH,BLIONMANY,,,,,,,3,MYRON,BRINKLEY,JAMES,BRINKLEY,SOMPHETH,BLIONMANY,,,,,4,5
PAUL,,MCENANY,,1/1/1955,666310473,Male,AK,338733,2143,KIMBERLY LYN CIR,,ANCHORAGE,AK,99515,2805,9072273357,2,X,TRUE,2,614,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,614,S,,CARPORT,2,,2,RYAN,MCENANY,ERIN,BIGFDOVE,,,,,,,3,PAUL,MCENANY,ERIN,BIGFDOVE,RYAN,MCENANY,,,,,5,5
DOUG,L,ROBERTS,JR,10/16/1952,666392718,Male,AK,7109688,8934,KRUGER DR,,ANCHORAGE,AK,99502,5151,9072091741,2,X,TRUE,1,641,1,6,CURRENT HOMEOWNER,,641,S,Y,,0,,1,JUNE,EUWAM,,,,,,,,,2,DOUG,ROBERTS,JUNE,EUWAM,,,,,,,2,3
MICHAEL,S,IRVIN,,3/10/1968,666622392,Male,AK,6923387,4800,KUPREANOF ST,,ANCHORAGE,AK,99507,1013,9072270449,2,X,TRUE,2,456,1,5,PROBABLE PROP OWNER EVER,,456,S,N,GARAGE,1,,2,LORENE,IRVIN,JONATHAN,SPRIM,,,,,,,3,MICHAEL,IRVIN,LORENE,IRVIN,JONATHAN,SPRIM,,,,,3,3
TERRY,,SNIDER,,8/9/1922,666017940,Male,AK,7023861,7811,LADASA PL,,ANCHORAGE,AK,99507,3049,9072291520,2,X,TRUE,1,1003,1,5,PROBABLE PROP OWNER EVER,Y,1003,S,N,CARPORT,2,,1,KEOPOUVANH,SNIDER,,,,,,,,,2,TERRY,SNIDER,KEOPOUVANH,SNIDER,,,,,,,2,2
WANDA,,JACK,,10/30/1941,666316473,Female,AK,6993129,6632,LAKEWAY DR,,ANCHORAGE,AK,99502,1950,9072293916,2,X,TRUE,1,773,1,,UNKNOWN (SUBJECT FOUND PERSON ,,772,S,,CARPORT,2,,1,BECKY,SAGGUNG,,,,,,,,,2,WANDA,JACK,BECKY,SAGGUNG,,,,,,,2,2
DAVID,,NELSON,,9/12/1962,666300432,Male,AK,7129948,8620,LEEPER CIR,,ANCHORAGE,AK,99504,4209,9072009373,2,X,TRUE,1,522,1,,UNKNOWN (SUBJECT FOUND PERSON ,,522,M,,CARPORT,2,,1,MICHELE,NELSON,,,,,,,,,2,DAVID,NELSON,MICHELE,NELSON,,,,,,,2,3
CARLA,A,BERETTA,,12/30/1963,990502612,Female,AK,7647645,2404,LUSARDI POINT CIR,,ANCHORAGE,AK,99515,3151,9072299548,1,,TRUE,0,486,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
WILLIAM,RAY,HOLT,,6/13/1937,666577044,Male,AK,6441657,1435,M ST,,ANCHORAGE,AK,99501,4958,9072294497,2,X,TRUE,0,825,1,5,PROBABLE PROP OWNER EVER,,825,S,N,,0,,0,,,,,,,,,,,4,WILLIAM,HOLT,DANI,HOLT,ANTHONY,PESLWE,MARY,HOLT,,,5,5
CARRIE,ZOLA,BARNETT,,6/1/1951,666398211,Female,AK,6791920,720,M ST,200,ANCHORAGE,AK,99501,3363,9072005640,2,X,TRUE,0,657,1,6,CURRENT HOMEOWNER,Y,657,M,Y,,0,,0,,,,,,,,,,,37,CARRIE,BARNETT,MARY,BARNETT,JUSTIN,BARNETT,CLIFFORD,BARNETT,KRISTI,BARNETT,14,16
DIANNE,,YNACAYNYE,,4/1/1974,666310839,Female,AK,7081198,7831,MAE RENE CIR,,ANCHORAGE,AK,99502,4463,9072295108,2,X,TRUE,1,383,1,,UNKNOWN (SUBJECT FOUND PERSON ,,383,M,,GARAGE,3,,1,CRAIG,SEQGIR,,,,,,,,,2,DIANNE,YNACAYNYE,CRAIG,SEQGIR,,,,,,,2,3
FLORA,MARIE,WARD,,3/9/1964,666354810,Female,AK,1010649,5313,MARIA CT,,ANCHORAGE,AK,99508,4936,9072093771,2,X,TRUE,5,504,1,,UNKNOWN (SUBJECT FOUND PERSON ,,504,S,,CARPORT,2,,5,AMY,WARD,SABRINA,WARD,LOREN,BEANE,SABRENA,MONTEIRO,IVANNA,SOUTHWORTH,3,FLORA,WARD,SABRINA,WARD,AMY,WARD,,,,,3,3
RENEE,,WESTBROOK,,10/24/1964,666080703,Female,AK,7095179,2344,MARIAN BAY CIR,,ANCHORAGE,AK,99515,3110,9072274981,2,X,TRUE,1,497,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,496,M,,GARAGE,2,,1,MICHELLE,WRUSL,,,,,,,,,4,RENEE,WESTBROOK,MICHELLE,WRUSL,RENEE,WESTBROOK,MICHELLE,WRUSL,,,3,3
LYNNETTE,M,CHUSID,,7/24/1977,666643971,Female,AK,821943,17250,MARIJANE ST,,ANCHORAGE,AK,99516,5618,9072237442,2,X,TRUE,3,344,1,5,PROBABLE PROP OWNER EVER,Y,343,M,N,GARAGE,4,,3,ROBERT,CHUSID,VIGIL,CHUSID,MACMILLAN,CEMAHA,,,,,4,LYNNETTE,CHUSID,ROBERT,CHUSID,MACMILLAN,CEMAHA,VIGIL,CHUSID,,,4,5
DEBORAH,A,BALDENEGROWINKLEM,,5/10/1934,666518847,Female,AK,6574841,3412,MCKENZIE DR,,ANCHORAGE,AK,99517,1653,9072009817,2,X,TRUE,1,861,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,862,S,,GARAGE,2,,1,DOYLE,BALDENEGROWINKLEM,,,,,,,,,2,DEBORAH,BALDENEGROWINKLEM,DOYLE,BALDENEGROWINKLEM,,,,,,,2,4
SUSAN,U,DIERINGER,,1/13/1948,666301653,Female,AK,7183091,8140,MEDELLIN CIR,B,ANCHORAGE,AK,99507,3269,9072290583,2,X,TRUE,2,698,1,6,CURRENT HOMEOWNER,,698,S,Y,,0,,2,ROGER,DIERINGER,ELSIE,BIDSAZ,,,,,,,3,SUSAN,DIERINGER,ELSIE,BIDSAZ,ROGER,DIERINGER,,,,,3,3
KATHY,E,OSBORN,,6/9/1957,666707316,Female,AK,6937819,2641,MELVIN AVE,,ANCHORAGE,AK,99517,3277,9072233536,2,X,TRUE,1,585,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,585,W,,GARAGE,4,,1,CHRISTOPHER,THOAREDOW,,,,,,,,,2,KATHY,OSBORN,CHRISTOPHER,THOAREDOW,,,,,,,2,3
BERNARD,,BORBON,,1/1/1955,666430998,Male,AK,7045011,7031,MIRANDA DR,,ANCHORAGE,AK,99507,5105,9072003095,2,X,TRUE,2,614,1,3,FAMILY OWNED,,614,S,Y,GARAGE,1,,2,MELIN,BORBON,ANDERS,ECERRINGOK,,,,,,,6,BERNARD,BORBON,ANDERS,ECERRINGOK,MELIN,BORBON,BERNARD,BORBON,ANDERS,ECERRINGOK,4,4
CHERYL,A,OBRIEN,,2/26/1957,666198042,Female,AK,6731040,2801,MONARCH CIR,,ANCHORAGE,AK,99516,2067,9072006599,2,X,TRUE,2,589,1,,UNKNOWN (SUBJECT FOUND PERSON ,,588,S,,CARPORT,2,,2,MIGUEL,OBRIEN,MARY,FOABI,,,,,,,7,CHERYL,OBRIEN,MIGUEL,OBRIEN,MARY,FOABI,CHERYL,OBRIEN,MARY,FOABI,4,4
PATRICIA,A,WENSIE,,8/27/1949,990502487,Female,AK,6613439,3319,MONTICELLO CT,,ANCHORAGE,AK,99503,4633,9072300755,1,,TRUE,0,666,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
ANNE,JACKSON,SHARON,,3/8/1953,990502526,Female,AK,7010490,12970,MOUNTAIN PL,,ANCHORAGE,AK,99516,3186,9072299383,1,,TRUE,0,606,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
MELLANIE,E,SHAFER,,1/1/1962,666030609,Female,AK,7071827,2221,MULDOON RD,590,ANCHORAGE,AK,99504,3641,9072239965,2,X,TRUE,1,530,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,530,S,,,0,,1,ARLANDA,SCEUG,,,,,,,,,4,MELLANIE,SHAFER,ARLANDA,SCEUG,MELLANIE,SHAFER,ARLANDA,SCEUG,,,3,3
ANGIE,,BARRETT,,10/12/1957,666404796,Female,AK,75844,10048,NANTUCKET CIR,,ANCHORAGE,AK,99507,4410,9072001381,2,X,TRUE,1,581,1,5,PROBABLE PROP OWNER EVER,,581,S,N,,0,,1,MATTHEW,BARRETT,,,,,,,,,2,ANGIE,BARRETT,MATTHEW,BARRETT,,,,,,,2,3
CHRISTOPHER,,BLANCAFLOR,,3/30/1963,666068250,Male,AK,7037179,1601,NELCHINA ST,305,ANCHORAGE,AK,99501,5502,9072007000,2,X,TRUE,3,516,1,3,FAMILY OWNED,,515,U,Y,,0,,3,IVAN,BLANCAFLOR,SARAH,BLANCAFLOR,TAMMY,FEDTAR,,,,,4,CHRISTOPHER,BLANCAFLOR,IVAN,BLANCAFLOR,TAMMY,FEDTAR,SARAH,BLANCAFLOR,,,4,5
BRUNETTE,,CANTRELL,,6/29/1965,666577386,Female,AK,7110624,15618,NOBLE POINT DR,,ANCHORAGE,AK,99516,7512,9072004746,2,X,TRUE,1,489,1,5,PROBABLE PROP OWNER EVER,,488,S,N,,0,,1,BRIEANN,XAESLERSBY,,,,,,,,,4,BRUNETTE,CANTRELL,BRIEANN,XAESLERSBY,BRUNETTE,CANTRELL,BRIEANN,XAESLERSBY,,,3,3
ERIK,,ALIZADEH,,11/24/1972,990503088,Male,AK,392148,2830,NORTH CIR,,ANCHORAGE,AK,99507,3951,9072299869,1,,TRUE,0,366,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
CHARISSA,L,WENDT,,3/25/1951,666540609,Female,AK,684297,13321,OLD SEWARD HWY,4,ANCHORAGE,AK,99515,4057,9072006017,2,X,TRUE,10,660,1,,DATA INTEGRITY (PUBLIC RECORDS,,659,M,,,0,,10,ARNOLD,WENDT,BILLY,WENDT,JERRY,WENDT,JOSHUA,WENDT,KIMBERLY,WENDT,10,CHARISSA,WENDT,ARNOLD,WENDT,WILLIAM,WENDT,SARA,WENDT,TATIANA,WENDT,12,16
SANDRA,,TAYLOR,,3/19/1943,666417021,Female,AK,7114869,8007,OLD SEWARD HWY,A15,ANCHORAGE,AK,99518,3348,9072278324,2,X,TRUE,1,756,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,756,S,,,0,,1,CHRISTOPHER,TAYLOR,,,,,,,,,2,SANDRA,TAYLOR,CHRISTOPHER,TAYLOR,,,,,,,3,4
ALBA,A,SMITH,,9/21/1937,666325467,Female,AK,6373127,3324,ORION CIR,,ANCHORAGE,AK,99517,1648,9072000369,0,X,,0,0,0,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
CAROL,,BAXTER,,2/20/1927,666328398,Female,AK,7032476,3602,PARSONS AVE,,ANCHORAGE,AK,99508,1127,9072005316,2,X,TRUE,2,949,1,6,CURRENT HOMEOWNER,,948,M,Y,GARAGE,2,,2,DAVID,BAXTER,ROBERT,CRDIQER,,,,,,,3,CAROL,BAXTER,ROBERT,CRDIQER,DAVID,BAXTER,,,,,5,6
ANDREW,JOHN,ALEXANDER,,1/1/1947,666348720,Male,AK,7225615,1810,PATTERSON CT,,ANCHORAGE,AK,99504,2772,9072001160,2,X,TRUE,10,710,1,6,CURRENT HOMEOWNER,Y,710,S,Y,CARPORT,0,,10,ANNIE,ALEXANDER,CHRISTOPHER,ALEXANDER,ELIZABETH,ALEXANDER,KENT,ALEXANDER,LORETTA,ALEXANDER,11,ANDREW,ALEXANDER,WILLIAM,ALEXANDER,KENT,ALEXANDER,TRACY,ALEXANDER,CHRISTOPHER,ALEXANDER,11,16
ALICIA,,LANDON,,3/15/1963,990502849,Female,AK,7682666,349,PAULINE ST,,ANCHORAGE,AK,99504,1554,9072299322,1,,TRUE,0,486,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
ROBERT,,MCCULLOCH,,2/12/1970,666437289,Male,AK,6792586,8531,PECK AVE,,ANCHORAGE,AK,99504,1429,9072276349,2,X,TRUE,1,433,1,,UNKNOWN (SUBJECT FOUND PERSON ,,433,S,,GARAGE,2,,1,NORMA,GAEKUTT,,,,,,,,,5,ROBERT,MCCULLOCH,CHARLES,MCCULLOCH,NORMA,GAEKUTT,ROBERT,MCCULLOCH,NORMA,GAEKUTT,3,3
CHARLES,R,SAHDO,,1/1/1960,666401421,Male,AK,6250575,,PO BOX 100936,,ANCHORAGE,AK,99510,936,9072006332,2,X,,0,554,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,0,S,,,0,,0,,,,,,,,,,,3,CHARLES,SAHDO,THANH,HUBWAY,FRANCES,SAHDO,,,,,4,5
MARYANN,,REED,,12/12/1927,666227514,Female,AK,6567404,,PO BOX 101400,,ANCHORAGE,AK,99510,1400,9072239469,2,X,,0,939,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,S,,,0,,0,,,,,,,,,,,2,MARYANN,REED,MICHAEL,VEMIOSEK,,,,,,,3,2
LEONARD,,BROWN,,12/4/1957,666030723,Male,AK,7077381,,PO BOX 101976,,ANCHORAGE,AK,99510,1976,9072295110,2,X,,0,579,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,0,S,,,0,,0,,,,,,,,,,,8,LEONARD,BROWN,BETHLEHEM,BROWN,TERRY,TAADR,DANIELLE,BROWN,LEONARD,BROWN,4,5
SABRINA,,ROBERTS,,6/7/1939,666523368,Female,AK,7142356,,PO BOX 104660,,ANCHORAGE,AK,99510,,9072277945,2,X,,0,801,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,S,,,0,,0,,,,,,,,,,,4,SABRINA,ROBERTS,JENNIFER,ROBERTS,SABRINA,ROBERTS,JENNIFER,ROBERTS,,,3,3
VIVIAN,L,ODAY,,7/20/1971,666485847,Female,AK,7148208,,PO BOX 111326,,ANCHORAGE,AK,99511,1326,9072293648,2,X,,0,416,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,M,,,0,,0,,,,,,,,,,,3,VIVIAN,ODAY,DEBORAH,ODAY,ALBERT,ODAY,,,,,3,3
RAYMOND,B,BARTEE,,6/20/1956,666164847,Male,AK,7068189,,PO BOX 113016,,ANCHORAGE,AK,99511,3016,9072274584,2,X,,0,597,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,W,,,0,,0,,,,,,,,,,,2,RAYMOND,BARTEE,SCOT,NAHPIRD,,,,,,,2,2
VANESSA,J,SCHEER,,12/25/1953,666250713,Female,AK,6774818,,PO BOX 200124,,ANCHORAGE,AK,99520,124,9072293112,2,X,,0,627,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,M,,,0,,0,,,,,,,,,,,5,VANESSA,SCHEER,RAY,PAGGARS,VANESSA,SCHEER,BRUNETTE,SCHEER,RAY,PAGGARS,3,3
